"ID_RS","year","typ","AFSmg.l","BSB5mg.l","Camg.l","Chl.amg.l","Clmg.l","LFmS.m","Nges.Nmg.l","NH3..calc.mg.l","NH4.Nmg.l","NO2.Nmg.l","NO3.Nmg.l","O2.","O2mg.l","oPO4.Pmg.l","Pges.Pmg.l","pH.....","PO4.Pmg.l","TOCmg.l","Twa.C"
107006224,2010,"18",NA,NA,129.25,NA,76.775,92.25,NA,0.00549112025,0.17,2.525,0.03375,NA,10.3,NA,0.13,8.15,NA,7.1,13.6
107006225,2004,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006225,2005,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006225,2007,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006225,2010,"18",NA,NA,120.25,NA,145.75,139,50.25,1.8656674225,34.825,0.25,0.14375,NA,3.625,NA,5.7575,8.225,NA,94.025,15.45
107006226,2004,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006226,2005,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006226,2007,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006226,2010,"18",NA,NA,121.75,NA,222.75,150,42.25,1.9453626685,26.415,0.25,0.2325,NA,4.725,NA,5.9525,8.2,NA,123.025,15.9
107006228,2003,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006228,2011,"5",0.5,NA,44,NA,13.7,31,4.03,0.000123196,0.025,3.56,0.0025,NA,11.2,NA,0.03,7.5,NA,0.25,7.8
107006229,2003,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006229,2006,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006229,2007,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006230,2000,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006230,2001,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006230,2002,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006230,2006,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006230,2010,"5",NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006231,2000,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006231,2001,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006231,2002,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107006231,2011,"5",NA,NA,63.25,NA,33.625,43.5,2,0.0003076425,0.021875,1.6625,NA,NA,9.575,NA,0.03,7.875,NA,2.125,11.8
